scenario,seed,model,true_att,att,ci_lower,ci_upper,bias,covered
parallel,0,DiD,0.0987190772669095,0.13029825040605458,-0.01970174959394755,0.2802982504060567,0.031579173139145086,1
parallel,0,SC-ADH,0.0987190772669095,0.128857116724018,1.2789769243681803e-13,0.25000000000013145,0.03013803945710851,1
parallel,0,SC-DI,0.0987190772669095,1.0450162714787894,0.42500000000013394,1.6750000000001517,0.9462971942118799,0
parallel,0,SDID,0.0987190772669095,0.16001990691847134,0.0725199069184701,0.2475199069184726,0.06130082965156185,1
parallel,1,DiD,0.10719977782593806,0.026988089699521378,-0.08551191030048022,0.13948808969952298,-0.08021168812641669,1
parallel,1,SC-ADH,0.10719977782593806,0.03991936978493715,-0.024999999999872458,0.12500000000012967,-0.06728040804100091,1
parallel,1,SC-DI,0.10719977782593806,0.40136709342233057,-0.3499999999998771,1.200000000000145,0.29416731559639253,1
parallel,1,SDID,0.10719977782593806,0.013662477709923682,-0.04883752229007721,0.07616247770992457,-0.09353730011601438,0
parallel,2,DiD,0.10340403528068842,0.21084210857710084,0.04834210857709853,0.37334210857710315,0.10743807329641242,1
parallel,2,SC-ADH,0.10340403528068842,0.21365223971207103,0.12500000000012967,0.30000000000013216,0.11024820443138261,0
parallel,2,SC-DI,0.10340403528068842,0.17193531377674076,-0.47499999999987885,0.85000000000014,0.06853127849605234,1
parallel,2,SDID,0.10340403528068842,0.19435854353869197,0.10685854353869073,0.2818585435386932,0.09095450825800355,0
parallel,3,DiD,0.10181919779179621,0.07145004033647728,-0.07854995966352485,0.22145004033647941,-0.03036915745531893,1
parallel,3,SC-ADH,0.10181919779179621,0.09412610599135329,-0.07499999999987317,0.2750000000001318,-0.007693091800442919,1
parallel,3,SC-DI,0.10181919779179621,-0.001492249087309383,-0.7999999999998835,0.7750000000001389,-0.1033114468791056,1
parallel,3,SDID,0.10181919779179621,0.06156052712991,-0.050939472870091596,0.1740605271299116,-0.04025867066188621,1
parallel,4,DiD,0.0811954380988379,0.06392423036457195,-0.09857576963543035,0.22642423036457426,-0.01727120773426595,1
parallel,4,SC-ADH,0.0811954380988379,0.02422161213168461,-0.09999999999987352,0.15000000000013003,-0.056973825967153294,1
parallel,4,SC-DI,0.0811954380988379,-0.08284635633549131,-0.42499999999987814,0.25000000000013145,-0.1640417944343292,1
parallel,4,SDID,0.0811954380988379,0.02303439300368859,-0.10196560699631319,0.14803439300369037,-0.058161045095149314,1
parallel,5,DiD,0.1431968626810675,0.10096105898605368,-0.049038941013948456,0.2509610589860558,-0.04223580369501381,1
parallel,5,SC-ADH,0.1431968626810675,0.10256616721204437,1.2789769243681803e-13,0.20000000000013074,-0.04063069546902312,1
parallel,5,SC-DI,0.1431968626810675,0.1524422294668284,-0.3499999999998771,0.6750000000001375,0.009245366785760906,1
parallel,5,SDID,0.1431968626810675,0.10445607337125251,0.029456073371251446,0.17945607337125358,-0.03874078930981498,1
parallel,6,DiD,0.11536696373039364,0.3121902341628142,0.17469023416281226,0.44969023416281617,0.1968232704324206,0
parallel,6,SC-ADH,0.11536696373039364,0.36006298485526456,0.25000000000013145,0.47500000000013465,0.24469602112487093,0
parallel,6,SC-DI,0.11536696373039364,0.5041113907962671,-0.47499999999987885,1.5000000000001492,0.3887444270658735,1
parallel,6,SDID,0.11536696373039364,0.3510053315164643,0.25100533151646287,0.4510053315164657,0.23563836778607067,0
parallel,7,DiD,0.14761662191618546,0.13547159704411182,0.022971597044110226,0.24797159704411342,-0.01214502487207364,1
parallel,7,SC-ADH,0.14761662191618546,0.2225489376288945,0.025000000000128253,0.42500000000013394,0.07493231571270903,1
parallel,7,SC-DI,0.14761662191618546,0.05518842994759621,-0.3499999999998771,0.4500000000001343,-0.09242819196858926,1
parallel,7,SDID,0.14761662191618546,0.15742482308493866,0.08242482308493759,0.23242482308493972,0.009808201168753194,1
parallel,8,DiD,0.12812860092244313,0.014115180303342578,-0.12338481969665938,0.15161518030334453,-0.11401342061910055,1
parallel,8,SC-ADH,0.12812860092244313,0.014799720688501328,-0.07499999999987317,0.12500000000012967,-0.1133288802339418,0
parallel,8,SC-DI,0.12812860092244313,0.36038827395110506,-0.1749999999998746,0.9500000000001414,0.23225967302866193,1
parallel,8,SDID,0.12812860092244313,0.018053144057813997,-0.06944685594218725,0.10555314405781524,-0.11007545686462913,0
parallel,9,DiD,0.1284639723624268,0.18011709306528267,0.030117093065280542,0.3301170930652848,0.05165312070285588,1
parallel,9,SC-ADH,0.1284639723624268,0.17909301291401047,0.025000000000128253,0.3250000000001325,0.05062904055158368,1
parallel,9,SC-DI,0.1284639723624268,0.016982947705587836,-0.7999999999998835,0.7500000000001386,-0.11148102465683896,1
parallel,9,SDID,0.1284639723624268,0.18399353558528286,0.07149353558528126,0.29649353558528446,0.05552956322285607,1
parallel,10,DiD,0.1034992164127902,-0.009771318727617162,-0.22227131872762018,0.20272868127238586,-0.11327053514040736,1
parallel,10,SC-ADH,0.1034992164127902,-0.07189783941485983,-0.19999999999987494,0.05000000000012861,-0.17539705582765003,0
parallel,10,SC-DI,0.1034992164127902,-0.014037100109684952,-0.4999999999998792,0.4500000000001343,-0.11753631652247515,1
parallel,10,SDID,0.1034992164127902,-0.05439368040505321,-0.19189368040505517,0.08310631959494874,-0.1578928968178434,0
parallel,11,DiD,0.07066487401707984,0.04318646666433157,-0.11931353333567074,0.20568646666433388,-0.02747840735274827,1
parallel,11,SC-ADH,0.07066487401707984,0.08942980755665952,-0.12499999999987388,0.2750000000001318,0.018764933539579684,1
parallel,11,SC-DI,0.07066487401707984,0.23975591008673813,-0.5999999999998806,1.0750000000001432,0.1690910360696583,1
parallel,11,SDID,0.07066487401707984,0.054272480495586084,-0.07072751950441569,0.17927248049558786,-0.016392393521493756,1
parallel,12,DiD,0.13686079234725404,0.08657005444055987,-0.06342994555944226,0.236570054440562,-0.050290737906694166,1
parallel,12,SC-ADH,0.13686079234725404,-0.012218536355278697,-0.14999999999987423,0.12500000000012967,-0.14907932870253274,0
parallel,12,SC-DI,0.13686079234725404,0.5600417312009152,-0.2249999999998753,1.350000000000147,0.42318093885366115,1
parallel,12,SDID,0.13686079234725404,0.05447290290663376,-0.04552709709336766,0.15447290290663518,-0.08238788944062028,1
parallel,13,DiD,0.09312046306018829,-0.014358034124589691,-0.16435803412459182,0.13564196587541244,-0.10747849718477798,1
parallel,13,SC-ADH,0.09312046306018829,-0.047924616962711886,-0.19999999999987494,0.07500000000012896,-0.14104508002290017,0
parallel,13,SC-DI,0.09312046306018829,-0.10482226413994455,-0.7749999999998831,0.6000000000001364,-0.19794272720013284,1
parallel,13,SDID,0.09312046306018829,0.015100595893402846,-0.13489940410659929,0.16510059589340498,-0.07801986716678544,1
parallel,14,DiD,0.07316264424680816,0.07108871532678762,-0.12891128467321522,0.27108871532679046,-0.0020739289200205346,1
parallel,14,SC-ADH,0.07316264424680816,0.011376331077309065,-0.14999999999987423,0.17500000000013038,-0.06178631316949909,1
parallel,14,SC-DI,0.07316264424680816,0.16538243612738923,-0.624999999999881,0.9500000000001414,0.09221979188058108,1
parallel,14,SDID,0.07316264424680816,0.07675435769610639,-0.0982456423038961,0.2517543576961089,0.003591713449298234,1
parallel,15,DiD,0.14336853070903885,0.12708022098017668,-0.06041977901982598,0.31458022098017935,-0.016288309728862166,1
parallel,15,SC-ADH,0.14336853070903885,0.1554879863116705,0.025000000000128253,0.30000000000013216,0.01211945560263164,1
parallel,15,SC-DI,0.14336853070903885,0.20282910566194,-0.5499999999998799,0.9500000000001414,0.05946057495290116,1
parallel,15,SDID,0.14336853070903885,0.1350898903752733,-0.027410109624729007,0.2975898903752756,-0.008278640333765547,1
parallel,16,DiD,0.08334254690100729,0.1449973113412366,0.019997311341234836,0.2699973113412384,0.061654764440229326,1
parallel,16,SC-ADH,0.08334254690100729,0.09887690242237968,1.2789769243681803e-13,0.20000000000013074,0.01553435552137239,1
parallel,16,SC-DI,0.08334254690100729,0.35759009481380755,-0.274999999999876,1.0250000000001425,0.27424754791280026,1
parallel,16,SDID,0.08334254690100729,0.13850893509174877,0.05100893509174753,0.22600893509175002,0.05516638819074149,1
parallel,17,DiD,0.15826813550870278,0.28396263791833887,0.13396263791833674,0.433962637918341,0.1256945024096361,1
parallel,17,SC-ADH,0.15826813550870278,0.3271761835438225,0.20000000000013074,0.4500000000001343,0.16890804803511972,0
parallel,17,SC-DI,0.15826813550870278,-0.8179766536655366,-1.5499999999998941,-0.07499999999987317,-0.9762447891742394,0
parallel,17,SDID,0.15826813550870278,0.3755865259104447,0.2255865259104426,0.5255865259104469,0.21731839040174195,0
parallel,18,DiD,0.09587371984962584,-0.060372444961786176,-0.17287244496178777,0.05212755503821542,-0.156246164811412,0
parallel,18,SC-ADH,0.09587371984962584,-0.06507011120006756,-0.12499999999987388,1.2789769243681803e-13,-0.1609438310496934,0
parallel,18,SC-DI,0.09587371984962584,0.01496335397403803,-0.4999999999998792,0.500000000000135,-0.08091036587558781,1
parallel,18,SDID,0.09587371984962584,-0.047593194907546654,-0.09759319490754736,0.0024068050924540563,-0.1434669147571725,0
parallel,19,DiD,0.08722806706851516,0.1751591997984263,0.0001591997984238258,0.3501591997984288,0.08793113272991115,1
parallel,19,SC-ADH,0.08722806706851516,0.16082230087909244,0.05000000000012861,0.2750000000001318,0.07359423381057728,1
parallel,19,SC-DI,0.08722806706851516,-0.5023235933420414,-1.1749999999998888,0.17500000000013038,-0.5895516604105565,1
parallel,19,SDID,0.08722806706851516,0.1621334122523912,0.062133412252389775,0.2621334122523926,0.07490534518387604,1
parallel,20,DiD,0.09544145170251056,0.07404240115433347,-0.15095759884566973,0.29904240115433667,-0.02139905054817709,1
parallel,20,SC-ADH,0.09544145170251056,0.09549869227318075,-0.09999999999987352,0.25000000000013145,5.7240570670191726e-05,1
parallel,20,SC-DI,0.09544145170251056,-0.019181846333804264,-0.624999999999881,0.500000000000135,-0.11462329803631482,1
parallel,20,SDID,0.09544145170251056,0.07743244868837496,-0.09756755131162753,0.25243244868837744,-0.018009003014135605,1
parallel,21,DiD,0.1462670961627873,0.10396453746169176,-0.10853546253831126,0.3164645374616948,-0.04230255870109553,1
parallel,21,SC-ADH,0.1462670961627873,0.10906761985122015,-0.07499999999987317,0.30000000000013216,-0.03719947631156714,1
parallel,21,SC-DI,0.1462670961627873,-0.3204819193353514,-1.0749999999998874,0.4500000000001343,-0.46674901549813874,1
