scenario,seed,model,true_att,att,ci_lower,ci_upper,bias,covered
parallel,0,DiD,0.0987190772669095,0.1302982504060545,-0.0197017495939475,0.2802982504060567,0.031579173139145,1
parallel,0,SC-ADH,0.0987190772669095,0.128857116724018,1.2789769243681806e-13,0.2500000000001314,0.0301380394571085,1
parallel,0,SC-DI,0.0987190772669095,1.0450162714787894,0.4250000000001339,1.6750000000001517,0.94629719421188,0
parallel,0,SDID,0.0987190772669095,0.1600199069184713,0.0725199069184701,0.2475199069184726,0.0613008296515618,1
parallel,1,DiD,0.107199777825938,0.0269880896995213,-0.0855119103004802,0.1394880896995229,-0.0802116881264166,1
parallel,1,SC-ADH,0.107199777825938,0.0399193697849371,-0.0249999999998724,0.1250000000001296,-0.0672804080410009,1
parallel,1,SC-DI,0.107199777825938,0.4013670934223305,-0.3499999999998771,1.200000000000145,0.2941673155963925,1
parallel,1,SDID,0.107199777825938,0.0136624777099236,-0.0488375222900772,0.0761624777099245,-0.0935373001160143,0
parallel,2,DiD,0.1034040352806884,0.2108421085771008,0.0483421085770985,0.3733421085771031,0.1074380732964124,1
parallel,2,SC-ADH,0.1034040352806884,0.213652239712071,0.1250000000001296,0.3000000000001321,0.1102482044313826,0
parallel,2,SC-DI,0.1034040352806884,0.1719353137767407,-0.4749999999998788,0.85000000000014,0.0685312784960523,1
parallel,2,SDID,0.1034040352806884,0.1943585435386919,0.1068585435386907,0.2818585435386932,0.0909545082580035,0
parallel,3,DiD,0.1018191977917962,0.0714500403364772,-0.0785499596635248,0.2214500403364794,-0.0303691574553189,1
parallel,3,SC-ADH,0.1018191977917962,0.0941261059913532,-0.0749999999998731,0.2750000000001318,-0.0076930918004429,1
parallel,3,SC-DI,0.1018191977917962,-0.0014922490873093,-0.7999999999998835,0.7750000000001389,-0.1033114468791056,1
parallel,3,SDID,0.1018191977917962,0.06156052712991,-0.0509394728700915,0.1740605271299116,-0.0402586706618862,1
parallel,4,DiD,0.0811954380988379,0.0639242303645719,-0.0985757696354303,0.2264242303645742,-0.0172712077342659,1
parallel,4,SC-ADH,0.0811954380988379,0.0242216121316846,-0.0999999999998735,0.15000000000013,-0.0569738259671532,1
parallel,4,SC-DI,0.0811954380988379,-0.0828463563354913,-0.4249999999998781,0.2500000000001314,-0.1640417944343292,1
parallel,4,SDID,0.0811954380988379,0.0230343930036885,-0.1019656069963131,0.1480343930036903,-0.0581610450951493,1
parallel,5,DiD,0.1431968626810675,0.1009610589860536,-0.0490389410139484,0.2509610589860558,-0.0422358036950138,1
parallel,5,SC-ADH,0.1431968626810675,0.1025661672120443,1.2789769243681806e-13,0.2000000000001307,-0.0406306954690231,1
parallel,5,SC-DI,0.1431968626810675,0.1524422294668284,-0.3499999999998771,0.6750000000001375,0.0092453667857609,1
parallel,5,SDID,0.1431968626810675,0.1044560733712525,0.0294560733712514,0.1794560733712535,-0.0387407893098149,1
parallel,6,DiD,0.1153669637303936,0.3121902341628142,0.1746902341628122,0.4496902341628161,0.1968232704324206,0
parallel,6,SC-ADH,0.1153669637303936,0.3600629848552645,0.2500000000001314,0.4750000000001346,0.2446960211248709,0
parallel,6,SC-DI,0.1153669637303936,0.5041113907962671,-0.4749999999998788,1.5000000000001492,0.3887444270658735,1
parallel,6,SDID,0.1153669637303936,0.3510053315164643,0.2510053315164628,0.4510053315164657,0.2356383677860706,0
parallel,7,DiD,0.1476166219161854,0.1354715970441118,0.0229715970441102,0.2479715970441134,-0.0121450248720736,1
parallel,7,SC-ADH,0.1476166219161854,0.2225489376288945,0.0250000000001282,0.4250000000001339,0.074932315712709,1
parallel,7,SC-DI,0.1476166219161854,0.0551884299475962,-0.3499999999998771,0.4500000000001343,-0.0924281919685892,1
parallel,7,SDID,0.1476166219161854,0.1574248230849386,0.0824248230849375,0.2324248230849397,0.0098082011687531,1
parallel,8,DiD,0.1281286009224431,0.0141151803033425,-0.1233848196966593,0.1516151803033445,-0.1140134206191005,1
parallel,8,SC-ADH,0.1281286009224431,0.0147997206885013,-0.0749999999998731,0.1250000000001296,-0.1133288802339418,0
parallel,8,SC-DI,0.1281286009224431,0.360388273951105,-0.1749999999998746,0.9500000000001414,0.2322596730286619,1
parallel,8,SDID,0.1281286009224431,0.0180531440578139,-0.0694468559421872,0.1055531440578152,-0.1100754568646291,0
parallel,9,DiD,0.1284639723624268,0.1801170930652826,0.0301170930652805,0.3301170930652848,0.0516531207028558,1
parallel,9,SC-ADH,0.1284639723624268,0.1790930129140104,0.0250000000001282,0.3250000000001325,0.0506290405515836,1
parallel,9,SC-DI,0.1284639723624268,0.0169829477055878,-0.7999999999998835,0.7500000000001386,-0.1114810246568389,1
parallel,9,SDID,0.1284639723624268,0.1839935355852828,0.0714935355852812,0.2964935355852844,0.055529563222856,1
parallel,10,DiD,0.1034992164127902,-0.0097713187276171,-0.2222713187276201,0.2027286812723858,-0.1132705351404073,1
parallel,10,SC-ADH,0.1034992164127902,-0.0718978394148598,-0.1999999999998749,0.0500000000001286,-0.17539705582765,0
parallel,10,SC-DI,0.1034992164127902,-0.0140371001096849,-0.4999999999998792,0.4500000000001343,-0.1175363165224751,1
parallel,10,SDID,0.1034992164127902,-0.0543936804050532,-0.1918936804050551,0.0831063195949487,-0.1578928968178434,0
parallel,11,DiD,0.0706648740170798,0.0431864666643315,-0.1193135333356707,0.2056864666643338,-0.0274784073527482,1
parallel,11,SC-ADH,0.0706648740170798,0.0894298075566595,-0.1249999999998738,0.2750000000001318,0.0187649335395796,1
parallel,11,SC-DI,0.0706648740170798,0.2397559100867381,-0.5999999999998806,1.0750000000001432,0.1690910360696583,1
parallel,11,SDID,0.0706648740170798,0.054272480495586,-0.0707275195044156,0.1792724804955878,-0.0163923935214937,1
parallel,12,DiD,0.136860792347254,0.0865700544405598,-0.0634299455594422,0.236570054440562,-0.0502907379066941,1
parallel,12,SC-ADH,0.136860792347254,-0.0122185363552786,-0.1499999999998742,0.1250000000001296,-0.1490793287025327,0
parallel,12,SC-DI,0.136860792347254,0.5600417312009152,-0.2249999999998753,1.350000000000147,0.4231809388536611,1
parallel,12,SDID,0.136860792347254,0.0544729029066337,-0.0455270970933676,0.1544729029066351,-0.0823878894406202,1
parallel,13,DiD,0.0931204630601882,-0.0143580341245896,-0.1643580341245918,0.1356419658754124,-0.1074784971847779,1
parallel,13,SC-ADH,0.0931204630601882,-0.0479246169627118,-0.1999999999998749,0.0750000000001289,-0.1410450800229001,0
parallel,13,SC-DI,0.0931204630601882,-0.1048222641399445,-0.7749999999998831,0.6000000000001364,-0.1979427272001328,1
parallel,13,SDID,0.0931204630601882,0.0151005958934028,-0.1348994041065992,0.1651005958934049,-0.0780198671667854,1
parallel,14,DiD,0.0731626442468081,0.0710887153267876,-0.1289112846732152,0.2710887153267904,-0.0020739289200205,1
parallel,14,SC-ADH,0.0731626442468081,0.011376331077309,-0.1499999999998742,0.1750000000001303,-0.061786313169499,1
parallel,14,SC-DI,0.0731626442468081,0.1653824361273892,-0.624999999999881,0.9500000000001414,0.092219791880581,1
parallel,14,SDID,0.0731626442468081,0.0767543576961063,-0.0982456423038961,0.2517543576961089,0.0035917134492982,1
parallel,15,DiD,0.1433685307090388,0.1270802209801766,-0.0604197790198259,0.3145802209801793,-0.0162883097288621,1
